Time,Distance
2023-04-20 06:17:26.520182,2.97344
2023-04-20 06:17:26.521182,2.9174
2023-04-20 06:17:26.522182,2.85824
2023-04-20 06:17:26.523182,2.79908
2023-04-20 06:17:26.524182,2.7337
2023-04-20 06:17:26.525182,2.6652
2023-04-20 06:17:26.526182,2.59982
2023-04-20 06:17:26.527182,2.53132
2023-04-20 06:17:26.528182,2.45971
2023-04-20 06:17:26.529182,2.3881
2023-04-20 06:17:26.530182,2.31337
2023-04-20 06:17:26.531182,2.24176
2023-04-20 06:17:26.532182,2.16703
2023-04-20 06:17:26.533182,2.08919
2023-04-20 06:17:26.534182,2.01136
2023-04-20 06:17:26.535182,1.9304
2023-04-20 06:17:26.536182,1.85256
2023-04-20 06:17:26.537182,1.77161
2023-04-20 06:17:26.538182,1.68755
2023-04-20 06:17:26.539182,1.60971
2023-04-20 06:17:26.540182,1.52564
2023-04-20 06:17:26.541182,1.44469
2023-04-20 06:17:26.542182,1.36374
2023-04-20 06:17:26.543182,1.28278
2023-04-20 06:17:26.544182,1.19872
2023-04-20 06:17:26.545182,1.11154
2023-04-20 06:17:26.546182,1.02125
2023-04-20 06:17:26.547182,0.93407
